Kingdom,Phylum,Class,Order,Family,Genus,ScientificName,CommonName,Slug,Description,AltitudeRange,ConservationStatus,LegalStatus,IsSensitive,ThumbnailUrl
Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Abracris,Abracris flavolineata,Saltamontes de rayas amarillas,abracris-flavolineata,Saltamontes común en áreas abiertas y bordes de bosque en el Eje Cafetero. Se caracteriza por sus bandas longitudinales amarillas en el cuerpo.,1000-2500 msnm,LC,False,False,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia decurrens,Acacia negra,acacia-decurrens,Árbol introducido de rápido crecimiento utilizado frecuentemente en reforestación y control de erosión. Posee hojas bipinnadas y flores amarillas en racimos.,1500-3000 msnm,NE,False,False,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Acaena,Acaena elongata,Cadillo de páramo,acaena-elongata,Hierba perenne de alta montaña con inflorescencias globosas espinosas. Es una especie adaptada a condiciones de páramo y subpáramo.,2800-4000 msnm,LC,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/121075133/original.jpeg
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter striatus,Gavilán acollarado,accipiter-striatus,"Ave rapaz de tamaño pequeño a mediano, ágil cazadora de aves más pequeñas. Es un depredador tope importante en los ecosistemas cafeteros.",1000-3500 msnm,LC,True,False,https://upload.wikimedia.org/wikipedia/commons/c/c2/Accipiter_striatus_3.jpg
Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Achlyodes,Achlyodes pallida,Saltarina pálida,achlyodes-pallida,"Mariposa pequeña de hábitos discretos, común en bordes de bosque y zonas húmedas. Pertenece a la familia Hesperiidae, conocidas por su vuelo rápido.",1000-2200 msnm,NE,False,False,
Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Acrocomia,Acrocomia aculeata,Corozo,acrocomia-aculeata,Palma de tronco espinoso que produce frutos drupáceos ricos en aceites y grasas. Es una especie de gran versatilidad ecológica y económica en zonas tropicales.,0-1800 msnm,LC,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/165490743/original.jpeg
Animalia,Chordata,Aves,Passeriformes,Rhinocryptidae,Acropternis,Acropternis orthonyx,Tapaculo ocelado,acropternis-orthonyx,Ave de sotobosque con plumaje distintivo de puntos blancos sobre fondo oscuro. Es una especie elusiva y de gran interés para observadores de aves especializados.,2000-3500 msnm,LC,True,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Actinote,Actinote neleus,Mariposa de alas transparentes,actinote-neleus,Mariposa de hábitos gregarios cuyas larvas se alimentan de plantas del género Mikania. Es un componente importante de la biodiversidad local en áreas de borde de bosque.,1000-2500 msnm,NE,False,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Actinote,Actinote stratonice,Mariposa de bandas naranjas,actinote-stratonice,Mariposa de colores aposemáticos que advierten su toxicidad a posibles depredadores. Se encuentra frecuentemente en zonas abiertas y bordes de caminos en el Eje Cafetero.,1500-2800 msnm,NE,False,False,
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,Actitis macularius,Playero alzacolita,actitis-macularius,Ave migratoria que frecuenta las orillas de ríos y quebradas en el Eje Cafetero. Se caracteriza por su movimiento constante de cola mientras camina.,0-3000 msnm,LC,True,False,https://upload.wikimedia.org/wikipedia/commons/a/aa/Actitis_macularia.jpg
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Adelomyia,Adelomyia melanogenys,Colibrí jaspeado,adelomyia-melanogenys,Pequeño colibrí caracterizado por su plumaje jaspeado y su presencia en bordes de bosque húmedo. Es una especie emblemática para la observación de aves en el Eje Cafetero.,1000-2800 msnm,LC,True,False,
